recv_time,con_type,gid,Fno,map_ver,Mcd,drm_mc,drm_cn1,drm_cn2,drm_rn,aprc_time,leav_time,jam,tt,drm_speed,drm_rl,next_mc,next_cn1,next_cn2,next_rn,Pattern,blink_info
2017-05-19 00:00:00.000,1,a85321aba511a128,1,FFFFFF,0,614016,510,636,756,2017-05-18 23:58:15.000,2017-05-18 23:58:56.000,12,41.0,17.5,199,0,0,0,0,11,31,13322007,41,1
2017-05-19 13:02:07.000,1,a85321aba511a128,1,FFFFFF,0,614016,577,171,-297,2017-05-19 12:58:41.000,2017-05-19 12:58:41.100,12,.1,36.0,1,614016,171,187,296,22,31,13292548,8,0
2017-05-19 13:02:07.000,1,a85321aba511a128,1,FFFFFF,0,614016,171,187,296,2017-05-19 12:58:41.100,2017-05-19 12:58:41.800,12,.7,82.3,16,614016,187,191,324,22,31,13292548,8,0
2017-05-19 13:02:07.000,1,a85321aba511a128,1,FFFFFF,0,614016,187,191,324,2017-05-19 12:58:41.800,2017-05-19 12:58:42.000,12,.2,90.0,5,0,0,0,0,22,31,13292548,8,0
2017-05-19 13:02:07.000,1,a85321aba511a128,1,FFFFFF,0,614016,160,576,280,2017-05-19 13:00:08.000,2017-05-19 13:00:58.200,12,50.2,26.9,375,614016,576,577,839,14,31,13292666,57,0,31,13292724,24,0
2017-05-19 13:02:07.000,1,a85321aba511a128,1,FFFFFF,0,614016,576,577,839,2017-05-19 13:00:58.200,2017-05-19 13:00:59.000,12,.8,58.5,13,0,0,0,0,14,31,13292666,57,0,31,13292724,24,0
2017-05-19 00:08:08.000,1,a12b2aaba428a128,1,FFFFFF,0,533935,1672,1629,-2383,2017-05-18 23:59:26.000,2017-05-18 23:59:35.000,12,9.0,42.0,105,0,0,0,0,21,27,85503526,25,1
2017-05-19 00:08:08.000,1,a12b2aaba428a128,1,FFFFFF,0,533935,1616,1615,-2369,2017-05-19 00:00:12.000,2017-05-19 00:00:12.400,12,.4,63.0,7,533935,1615,1606,-2355,2,27,85509119,16,0
2017-05-19 00:08:08.000,1,a12b2aaba428a128,1,FFFFFF,0,533935,1615,1606,-2355,2017-05-19 00:00:12.400,2017-05-19 00:00:15.800,12,3.4,54.0,51,533935,1606,1607,2354,2,27,85509119,16,0
2017-05-19 00:08:08.000,1,a12b2aaba428a128,1,FFFFFF,0,533935,1606,1607,2354,2017-05-19 00:00:15.800,2017-05-19 00:00:17.000,12,1.2,54.0,18,533935,1607,1656,2356,2,27,85509119,16,0
2017-05-19 00:08:08.000,1,a12b2aaba428a128,1,FFFFFF,0,533935,1607,1656,2356,2017-05-19 00:00:18.000,2017-05-19 00:00:32.900,12,14.9,37.7,156,533935,1656,5699,2423,4,27,85509136,51,0,27,85509188,8,0
